dataset,probe_id,gene_symbol
GSE23959,3456734,ITGA5
GSE23959,3456735,ITGA5
GSE23959,3456736,ITGA5
GSE23959,3456737,ITGA5
GSE23959,3456739,ITGA5
GSE23959,3456741,ITGA5
GSE23959,3456742,ITGA5
GSE23959,3456743,ITGA5
GSE23959,3456745,ITGA5
GSE23959,3456746,ITGA5
GSE23959,3456748,ITGA5
GSE23959,3456750,ITGA5
GSE23959,3456752,ITGA5
GSE23959,3456753,ITGA5
GSE23959,3456754,ITGA5
GSE23959,3456758,ITGA5
GSE23959,3456759,ITGA5
GSE23959,3456760,ITGA5
GSE23959,3456762,ITGA5
GSE23959,3456765,ITGA5
GSE23959,3456766,ITGA5
GSE23959,3456767,ITGA5
GSE23959,3456768,ITGA5
GSE23959,3456770,ITGA5
GSE23959,3456772,ITGA5
GSE23959,3456775,ITGA5
GSE23959,3456780,ITGA5
GSE23959,3456781,ITGA5
GSE23959,3465276,DCN
GSE23959,3465278,DCN
GSE23959,3465279,DCN
GSE23959,3465280,DCN
GSE23959,3465281,DCN
GSE23959,3465282,DCN
GSE23959,3465283,DCN
GSE23959,3465284,DCN
GSE23959,3465288,DCN
GSE23959,3465290,DCN
GSE23959,3465292,DCN
GSE23959,3465293,DCN
GSE23959,3465295,DCN
GSE23959,3465307,DCN
GSE23959,3465308,DCN
GSE23959,3465310,DCN
GSE23959,3465314,DCN
GSE23959,3501224,COL4A2
GSE23959,3501225,COL4A2
GSE23959,3501226,COL4A2
GSE23959,3501227,COL4A2
GSE23959,3501247,COL4A2
GSE23959,3501263,COL4A2
GSE23959,3501264,COL4A2
GSE23959,3501266,COL4A2
GSE23959,3501268,COL4A2
GSE23959,3501269,COL4A2
GSE23959,3501275,COL4A2
GSE23959,3501278,COL4A2
GSE23959,3501282,COL4A2
GSE23959,3501289,COL4A2
GSE23959,3501293,COL4A2
GSE23959,3501295,COL4A2
GSE23959,3501300,COL4A2
GSE23959,3501301,COL4A2
GSE23959,3501305,COL4A2
GSE23959,3501306,COL4A2
GSE23959,3501308,COL4A2
GSE23959,3501310,COL4A2
GSE23959,3501312,COL4A2
GSE23959,3501316,COL4A2
GSE23959,3501317,COL4A2
GSE23959,3501329,COL4A2
GSE23959,3501332,COL4A2
GSE23959,3501335,COL4A2
GSE23959,3501337,COL4A2
GSE23959,3501339,COL4A2
GSE23959,3501340,COL4A2
GSE23959,3501343,COL4A2
GSE23959,3501350,COL4A2
GSE23959,3501351,COL4A2
GSE23959,3501352,COL4A2
GSE23959,3501355,COL4A2
GSE23959,3501356,COL4A2
GSE23959,3501359,COL4A2
GSE23959,3501360,COL4A2
GSE23959,3501363,COL4A2
GSE23959,3501364,COL4A2
GSE23959,3501365,COL4A2
GSE23959,3501366,COL4A2
GSE23959,3501367,COL4A2
GSE23959,3501368,COL4A2
GSE23959,3507287,FLT1
GSE23959,3507288,FLT1
GSE23959,3507294,FLT1
GSE23959,3507295,FLT1
GSE23959,3507300,FLT1
GSE23959,3507302,FLT1
GSE23959,3507307,FLT1
GSE23959,3507311,FLT1
GSE23959,3507312,FLT1
GSE23959,3507322,FLT1
GSE23959,3507323,FLT1
GSE23959,3507329,FLT1
GSE23959,3507337,FLT1
GSE23959,3507342,FLT1
GSE23959,3507343,FLT1
GSE23959,3507349,FLT1
GSE23959,3507358,FLT1
GSE23959,3507370,FLT1
GSE23959,3507372,FLT1
GSE23959,3507374,FLT1
GSE23959,3507375,FLT1
GSE23959,3507376,FLT1
GSE23959,3507377,FLT1
GSE23959,3507380,FLT1
GSE23959,3507393,FLT1
GSE23959,3507394,FLT1
GSE23959,3507411,FLT1
GSE23959,3510067,POSTN
GSE23959,3510068,POSTN
GSE23959,3510069,POSTN
GSE23959,3510070,POSTN
GSE23959,3510072,POSTN
GSE23959,3510081,POSTN
GSE23959,3510082,POSTN
GSE23959,3510084,POSTN
GSE23959,3510089,POSTN
GSE23959,3510091,POSTN
GSE23959,3510092,POSTN
GSE23959,3510093,POSTN
GSE23959,3510094,POSTN
GSE23959,3510095,POSTN
GSE23959,3510096,POSTN
GSE23959,3510097,POSTN
GSE23959,3510098,POSTN
GSE23959,3510099,POSTN
GSE23959,3510100,POSTN
GSE23959,3510101,POSTN
GSE23959,3510102,POSTN
GSE23959,3510103,POSTN
GSE23959,3510104,POSTN
GSE23959,3510105,POSTN
GSE23959,3510109,POSTN
GSE23959,3510110,POSTN
GSE23959,3524571,EFNB2
GSE23959,3524572,EFNB2
GSE23959,3524573,EFNB2
GSE23959,3524574,EFNB2
GSE23959,3524575,EFNB2
GSE23959,3524576,EFNB2
GSE23959,3524577,EFNB2
GSE23959,3524578,EFNB2
GSE23959,3524579,EFNB2
GSE23959,3524580,EFNB2
GSE23959,3524582,EFNB2
