contrast,dataset,gene,gene_set,present,test,n_case,n_control,mean_case,mean_control,delta_case_minus_control,ci95_low,ci95_high,p_value,effect_size_cohen_d,fdr_within_contrast
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,TNF,hypoxia_inflammation,True,paired_t,10,10,3.8724723000000005,3.7626499000000004,0.10982239999999996,0.03189401729253574,0.18775078270746418,0.011042011813623034,1.0081334879640427,0.05221937663982882
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,TNNT2,cardiac_stress,True,paired_t,10,10,7.797354700000001,7.4981883,0.2991664000000001,-0.622601925721123,1.2209347257211234,0.4815165080304471,0.2321741204406825,0.6821483863764667
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,VCAM1,flow_mechanosensing,True,paired_t,10,10,6.4333525,6.815301600000001,-0.38194910000000004,-0.923026620596924,0.1591284205969239,0.14475976547158997,-0.504973716359255,0.30761450162712867
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,VCAN,ecm_integrin,True,paired_t,10,10,6.984304679999999,6.9903134399999995,-0.0060087599999996575,-0.45169276573056233,0.439675245730563,0.9763349963602951,-0.009644519226742544,1.0
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,VEGFA,hypoxia_inflammation,True,paired_t,10,10,6.54388035,6.595727875,-0.051847525000000075,-0.15236669594758173,0.04867164594758158,0.27327029376662076,-0.3689792177611375,0.4890099993718477
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,VIM,tgfb_endmt,True,paired_t,10,10,7.8271938500000005,7.563325799999999,0.26386804999999985,-0.16872966814436696,0.6964657681443667,0.2009492814930787,0.4363403317109487,0.39041574690083863
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,VWF,endothelial_identity,True,paired_t,10,10,6.94814825,6.7670792,0.18106904999999998,-0.05964512447284176,0.4217832244728417,0.12303354394565937,0.5381029000835241,0.2848498044782695
GSE23959_HLHS_ventricle_vs_healthy_RV,GSE23959,ACTA2,tgfb_endmt,True,welch_t,6,5,7.5881520370370374,6.62740888888889,0.9607431481481479,-0.9577552049193396,2.8792415012156356,0.2596775240980274,0.8146482647838474,0.6141707956819791
GSE23959_HLHS_ventricle_vs_healthy_RV,GSE23959,ACTC1,cardiac_stress,True,welch_t,6,5,12.392454761904764,11.607134285714286,0.7853204761904777,0.253084428215555,1.3175565241654006,0.014092715965843178,2.643517047308837,0.1369006693824766
GSE23959_HLHS_ventricle_vs_healthy_RV,GSE23959,APLNR,endothelial_identity,True,welch_t,6,5,4.009991111111111,3.349921333333333,0.6600697777777778,0.325812216744912,0.9943273388106435,0.0026010758242416662,2.6620357356041255,0.06386889743157317
GSE23959_HLHS_ventricle_vs_healthy_RV,GSE23959,CA9,hypoxia_inflammation,True,welch_t,6,5,3.8666125757575753,4.17483490909091,-0.3082223333333345,-0.655153990804714,0.038709324138045065,0.07166322773855446,-1.4578562866570215,0.3480785347301217
GSE23959_HLHS_ventricle_vs_healthy_RV,GSE23959,CAV1,flow_mechanosensing,True,welch_t,6,5,7.9060758333333325,8.084371,-0.17829516666666834,-0.4223540587758696,0.06576372544253298,0.11823722049873574,-1.2436961342657584,0.446673944106335
GSE23959_HLHS_ventricle_vs_healthy_RV,GSE23959,CCL2,hypoxia_inflammation,True,welch_t,6,5,6.399858333333332,7.13994,-0.7400816666666685,-3.047218703746682,1.5670553704133448,0.47523354507206655,-0.46953290142257087,0.6732475221854276
GSE23959_HLHS_ventricle_vs_healthy_RV,GSE23959,CDH5,endothelial_identity,True,welch_t,6,5,4.838802192982457,4.599475157894736,0.23932703508772057,-0.5263025637011227,1.0049566338765639,0.464513242648651,0.5096055657882438,0.672061712768261
GSE23959_HLHS_ventricle_vs_healthy_RV,GSE23959,COL1A1,ecm_integrin,True,welch_t,6,5,5.90783954954955,6.024267945945946,-0.11642839639639568,-1.3185331183160676,1.0856763255232762,0.8072356596148319,-0.17160120700960713,0.9254120494851981
GSE23959_HLHS_ventricle_vs_healthy_RV,GSE23959,COL1A2,ecm_integrin,True,welch_t,6,5,6.666518085106383,7.166575957446808,-0.5000578723404248,-1.8168468019366038,0.8167310572557542,0.3766055022802902,-0.6290615484799482,0.6566454911553777
GSE23959_HLHS_ventricle_vs_healthy_RV,GSE23959,COL3A1,ecm_integrin,True,welch_t,6,5,6.377171870748299,7.155124448979592,-0.777952578231293,-1.7150874295228542,0.159182273060268,0.08665315450409343,-1.3667241610294363,0.3928276337518902
GSE23959_HLHS_ventricle_vs_healthy_RV,GSE23959,COL4A1,ecm_integrin,True,welch_t,6,5,5.8861167021276595,6.543698340425531,-0.6575816382978719,-1.8052873647519776,0.4901240881562339,0.20876326422655558,-0.9072244174731872,0.5459962295156069
GSE23959_HLHS_ventricle_vs_healthy_RV,GSE23959,COL4A2,ecm_integrin,True,welch_t,6,5,5.177396703703704,5.610324666666665,-0.4329279629629612,-1.1790307283675987,0.3131748024416764,0.2030251574174442,-0.9240594027530965,0.5459962295156069
